epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,462.874,0,5.13158,0,0,0,0,0,2.94139,8.02188,2.82415,0.00332808,0.00332808,0.00332808
2,887.346,0,0.00034,0,0,0,0,0,2.99462,8.93925,2.81514,0.00657898,0.00657898,0.00657898
3,1311.01,0,0,0,0,0,0,0,3.00465,9.5161,2.81887,0.00974738,0.00974738,0.00974738
4,1732.58,0,0,0,0,0,0,0,3.01899,9.8912,2.81045,0.00962875,0.00962875,0.00962875
5,2155.53,0,0,0,0,0,0,0,3.02263,10.077,2.81318,0.009505,0.009505,0.009505
6,2577.93,0,0,0,0,0,0,0,3.014,10.2062,2.81218,0.00938125,0.00938125,0.00938125
7,2999.01,0,0,0,0,0,0,0,3.02509,10.2816,2.80905,0.0092575,0.0092575,0.0092575
8,3420.68,0,0,0,0,0,0,0,3.01762,10.3511,2.81351,0.00913375,0.00913375,0.00913375
9,3843.26,0,0,0,0,0,0,0,3.03602,10.3832,2.80823,0.00901,0.00901,0.00901
10,4263.05,0,0,0,0,0,0,0,3.04992,10.4124,2.80201,0.00888625,0.00888625,0.00888625
11,4679.73,0,0,0,0,0,0,0,3.04116,10.4531,2.80603,0.0087625,0.0087625,0.0087625
12,5093.58,0,0,0,0,0,0,0,3.05907,10.4606,2.79732,0.00863875,0.00863875,0.00863875
13,5508.23,0,0,0,0,0,0,0,3.06024,10.4852,2.79906,0.008515,0.008515,0.008515
14,5921.29,0,0,0,0,0,0,0,3.07588,10.4894,2.79079,0.00839125,0.00839125,0.00839125
15,6333.7,0,0,0,0,0,0,0,3.0365,10.5289,2.80232,0.0082675,0.0082675,0.0082675
16,6746.66,0,0,0,0,0,0,0,3.04589,10.54,2.80129,0.00814375,0.00814375,0.00814375
17,7159.42,0,0,0,0,0,0,0,3.05864,10.5423,2.79767,0.00802,0.00802,0.00802
18,7572.41,0,0,0,0,0,0,0,3.05508,10.5494,2.79566,0.00789625,0.00789625,0.00789625
19,7984.41,0,0,0,0,0,0,0,3.06361,10.5508,2.79319,0.0077725,0.0077725,0.0077725
20,8397.88,0,0,0,0,0,0,0,3.05373,10.5642,2.7957,0.00764875,0.00764875,0.00764875
21,8810.31,0,0,0,0,0,0,0,3.05478,10.5688,2.79414,0.007525,0.007525,0.007525
22,9222.32,0,0,0,0,0,0,0,3.06905,10.5641,2.79169,0.00740125,0.00740125,0.00740125
23,9632.14,0,0,0,0,0,0,0,3.0541,10.5787,2.79631,0.0072775,0.0072775,0.0072775
24,10040.9,0,0,0,0,0,0,0,3.05628,10.5802,2.79421,0.00715375,0.00715375,0.00715375
25,10450.5,0,0,0,0,0,0,0,3.06308,10.5796,2.79124,0.00703,0.00703,0.00703
26,10864.8,0,0,0,0,0,0,0,3.07167,10.5774,2.79119,0.00690625,0.00690625,0.00690625
27,11276.8,0,0,0,0,0,0,0,3.05534,10.5907,2.79511,0.0067825,0.0067825,0.0067825
28,11693.4,0,0,0,0,0,0,0,3.05806,10.5913,2.79357,0.00665875,0.00665875,0.00665875
29,12109.8,0,0,0,0,0,0,0,3.06322,10.5887,2.79253,0.006535,0.006535,0.006535
30,12525.1,0,0,0,0,0,0,0,3.06811,10.5891,2.79174,0.00641125,0.00641125,0.00641125
31,12937.5,0,0,0,0,0,0,0,3.06192,10.5919,2.7932,0.0062875,0.0062875,0.0062875
32,13351.3,0,0,0,0,0,0,0,3.06338,10.5939,2.79329,0.00616375,0.00616375,0.00616375
33,13764.7,0,0,0,0,0,0,0,3.06491,10.5936,2.79249,0.00604,0.00604,0.00604
34,14176.8,0,0,0,0,0,0,0,3.06676,10.5927,2.7923,0.00591625,0.00591625,0.00591625
35,14590.3,0,0,0,0,0,0,0,3.06988,10.5921,2.79132,0.0057925,0.0057925,0.0057925
36,15000.1,0,0,0,0,0,0,0,3.06883,10.5946,2.79351,0.00566875,0.00566875,0.00566875
37,15410,0,0,0,0,0,0,0,3.06625,10.5969,2.79405,0.005545,0.005545,0.005545
38,15822.1,0,0,0,0,0,0,0,3.06455,10.6003,2.79509,0.00542125,0.00542125,0.00542125
39,16235.6,0,0,0,0,0,0,0,3.06603,10.6003,2.79503,0.0052975,0.0052975,0.0052975
40,16648.9,0,0,0,0,0,0,0,3.06986,10.5995,2.79507,0.00517375,0.00517375,0.00517375
41,17061.8,0,0,0,0,0,0,0,3.07499,10.598,2.79434,0.00505,0.00505,0.00505
42,17475.1,0,0,0,0,0,0,0,3.06355,10.6066,2.79899,0.00492625,0.00492625,0.00492625
43,17889.4,0,0,0,0,0,0,0,3.07396,10.6016,2.79687,0.0048025,0.0048025,0.0048025
44,18303.4,0,0,0,0,0,0,0,3.0719,10.6036,2.79829,0.00467875,0.00467875,0.00467875
45,18715.8,0,0,0,0,0,0,0,3.07229,10.6048,2.79906,0.004555,0.004555,0.004555
46,19127.5,0,0,0,0,0,0,0,3.0768,10.6019,2.79848,0.00443125,0.00443125,0.00443125
47,19538.7,0,0,0,0,0,0,0,3.07455,10.6045,2.80034,0.0043075,0.0043075,0.0043075
48,19951.4,0,0,0,0,0,0,0,3.07684,10.6034,2.80024,0.00418375,0.00418375,0.00418375
49,20363.5,0,0,0,0,0,0,0,3.07577,10.6053,2.80223,0.00406,0.00406,0.00406
50,20775.6,0,0,0,0,0,0,0,3.07599,10.6053,2.80117,0.00393625,0.00393625,0.00393625
51,21198.2,0,0,0,0,0,0,0,3.07937,10.6033,2.80152,0.0038125,0.0038125,0.0038125
