epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,398.255,1.33152,2.27017,1.30225,0.39339,0.39548,0.31119,0.18693,1.36863,2.21682,1.24632,0.000415928,0.000415928,0.000415928
2,769.466,1.4496,2.07453,1.38052,0.47703,0.31595,0.27402,0.15248,1.51995,2.45313,1.43195,0.000777643,0.000777643,0.000777643
3,1127.79,1.46682,2.04103,1.39856,0.43943,0.3689,0.31893,0.17792,1.52893,2.13068,1.36064,0.00108436,0.00108436,0.00108436
4,1487.25,1.42249,1.9371,1.37247,0.52551,0.37876,0.39976,0.22332,1.45055,1.80807,1.31518,0.0010025,0.0010025,0.0010025
5,1960.41,1.38846,1.83744,1.34967,0.50749,0.45948,0.44963,0.27835,1.38376,1.70604,1.26568,0.00092,0.00092,0.00092
6,2350.42,1.33454,1.70668,1.29041,0.56312,0.44439,0.46823,0.29298,1.31659,1.63064,1.25612,0.0008375,0.0008375,0.0008375
7,2730.35,1.29104,1.57232,1.26417,0.53785,0.51691,0.51,0.33316,1.2729,1.51467,1.20983,0.000755,0.000755,0.000755
8,3110.23,1.25343,1.49866,1.24027,0.62396,0.48297,0.53829,0.35242,1.23069,1.4773,1.19146,0.0006725,0.0006725,0.0006725
9,3489.65,1.21806,1.42168,1.21424,0.61328,0.50797,0.54501,0.35621,1.23436,1.4916,1.18224,0.00059,0.00059,0.00059
10,3863.48,1.16606,1.34181,1.19016,0.69309,0.50358,0.58169,0.40002,1.15621,1.32306,1.12816,0.0005075,0.0005075,0.0005075
11,4245.18,1.13524,1.26389,1.16656,0.65376,0.54591,0.58593,0.40454,1.15337,1.2987,1.14597,0.000425,0.000425,0.000425
12,4613.46,1.11606,1.20994,1.15241,0.71605,0.55059,0.61379,0.4208,1.11748,1.24433,1.12273,0.0003425,0.0003425,0.0003425
13,4975.04,1.07923,1.13525,1.13422,0.70172,0.55156,0.61254,0.43076,1.09974,1.22143,1.10951,0.00026,0.00026,0.00026
14,5350.52,1.05233,1.08521,1.12011,0.68666,0.58684,0.64343,0.45622,1.06783,1.14811,1.09706,0.0001775,0.0001775,0.0001775
15,5757.03,1.01737,1.03079,1.10119,0.71341,0.59552,0.65262,0.46374,1.06131,1.11115,1.096,9.5e-05,9.5e-05,9.5e-05
